patent_id,inventor_id,disambig_inventor_name_first,location_id
7566027,fl:de_ln:kurschner-2,Dennis L.,d047bc2e-16c7-11ed-9b5f-1234bde3cd05
H1124,fl:da_ln:yu-50,Daniel,01d1bd5c-16c8-11ed-9b5f-1234bde3cd05
6049313,fl:mo_ln:sawada-1,Motoshi,42f90495-16c8-11ed-9b5f-1234bde3cd05
10951690,fl:sa_ln:srinivasan-17,Saraswathy,816d2d55-16c8-11ed-9b5f-1234bde3cd05
7473560,fl:st_ln:soldin-1,Steven J.,fbad4255-16c7-11ed-9b5f-1234bde3cd05
11444369,fl:yi_ln:tseng-6,Yi-Ling,907f3ef5-16c8-11ed-9b5f-1234bde3cd05
11041427,fl:yo_ln:matsuda-49,Yoshimoto,9df03fac-16c8-11ed-9b5f-1234bde3cd05
D650109,fl:ro_ln:soler-3,Robert R.,f6ad69d2-16c7-11ed-9b5f-1234bde3cd05
6818327,fl:hi_ln:ikeda-32,Hidetsugu,210d78fd-16c8-11ed-9b5f-1234bde3cd05
10999714,fl:nu_ln:rosly-1,Nur Amalina,3cad10cf-16c8-11ed-9b5f-1234bde3cd05
10162261,fl:su_ln:lee-469,Su Jin,3eb2eaaa-16c8-11ed-9b5f-1234bde3cd05
D1035611,fl:ta_ln:nara-5,Takashi,1d2251c8-16c8-11ed-9b5f-1234bde3cd05
3956285,fl:fr_ln:weisenborn-1,Frank L.,0e262fe5-16c8-11ed-9b5f-1234bde3cd05
12038126,fl:th_ln:kaiser-5,Thomas,7f4e477f-49af-11ed-9879-1234bde3cd05
10617402,fl:br_ln:tockman-1,Bruce A.,df618bca-16c7-11ed-9b5f-1234bde3cd05
8348709,fl:ma_ln:baker-61,Martin C.,0e19de01-16c8-11ed-9b5f-1234bde3cd05
9268695,fl:ho_ln:simionescu-1,Horia,1416e13d-16c8-11ed-9b5f-1234bde3cd05
5229484,fl:ju_ln:koch-9,Juergen,851dca78-16c8-11ed-9b5f-1234bde3cd05
